@relation 'ufc_lightweith_combatientes-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,1'

@attribute blue_Wins numeric
@attribute blue_Stance {Diestro,Zurdo}
@attribute blue_Reach numeric
@attribute red_Wins numeric
@attribute red_Stance {Diestro,Zurdo}
@attribute red_Reach numeric
@attribute winner {Blue,Red}

@data
0,Diestro,190.5,4,Zurdo,190.5,Red
5,Diestro,198.12,13,Diestro,193.04,Blue
0,Diestro,195.58,1,Zurdo,210.82,Red
4,Diestro,205.74,5,Diestro,198.12,Blue
5,Diestro,190.5,8,Diestro,195.58,Blue
1,Diestro,198.12,1,Diestro,193.04,Red
2,Diestro,193.04,8,Diestro,203.2,Blue
15,Diestro,200.66,9,Diestro,203.2,Blue
2,Diestro,198.12,19,Diestro,195.58,Blue
0,Diestro,203.2,2,Diestro,198.12,Red
6,Diestro,203.2,12,Diestro,203.2,Blue
1,Diestro,195.58,2,Zurdo,208.28,Blue
0,Diestro,187.96,4,Zurdo,193.04,Blue
1,Zurdo,187.96,1,Diestro,190.5,Red
4,Diestro,203.2,7,Diestro,198.12,Red
3,Diestro,205.74,15,Diestro,195.58,Blue
0,Diestro,190.5,1,Diestro,193.04,Red
3,Diestro,198.12,7,Diestro,193.04,Blue
1,Zurdo,200.66,13,Zurdo,203.2,Blue
0,Diestro,190.5,0,Diestro,200.66,Blue
6,Diestro,190.5,8,Diestro,193.04,Red
5,Diestro,193.04,11,Diestro,193.04,Blue
0,Diestro,182.88,0,Diestro,205.74,Red
14,Diestro,193.04,13,Diestro,193.04,Blue
3,Diestro,190.5,18,Diestro,195.58,Red
6,Diestro,190.5,1,Zurdo,190.5,Red
3,Diestro,203.2,4,Diestro,203.2,Blue
3,Diestro,203.2,0,Diestro,193.04,Red
6,Zurdo,195.58,5,Diestro,203.2,Red
4,Zurdo,190.5,4,Diestro,190.5,Red
3,Zurdo,190.5,13,Diestro,213.36,Blue
0,Diestro,198.12,2,Diestro,177.8,Blue
1,Diestro,203.2,1,Diestro,193.04,Red
6,Diestro,198.12,8,Diestro,198.12,Blue
0,Diestro,200.66,1,Diestro,198.12,Red
0,Diestro,190.5,1,Diestro,187.96,Blue
9,Diestro,198.12,6,Zurdo,195.58,Blue
0,Diestro,195.58,0,Diestro,198.12,Blue
4,Diestro,200.66,3,Diestro,208.28,Red
2,Zurdo,208.28,12,Diestro,195.58,Red
0,Diestro,182.88,0,Zurdo,190.5,Red
2,Diestro,193.04,12,Zurdo,203.2,Red
4,Diestro,195.58,11,Diestro,203.2,Red
4,Diestro,198.12,8,Diestro,193.04,Blue
1,Zurdo,208.28,0,Diestro,187.96,Blue
4,Diestro,198.12,15,Diestro,195.58,Blue
11,Diestro,182.88,13,Diestro,203.2,Red
0,Diestro,190.5,0,Diestro,193.04,Red
8,Diestro,203.2,14,Diestro,200.66,Red
6,Zurdo,190.5,10,Diestro,193.04,Red
2,Diestro,177.8,4,Diestro,193.04,Red
10,Diestro,200.66,11,Diestro,195.58,Red
3,Diestro,198.12,0,Diestro,198.12,Red
1,Diestro,198.12,2,Diestro,190.5,Red
0,Diestro,198.12,0,Diestro,193.04,Red
1,Diestro,198.12,0,Diestro,190.5,Blue
0,Diestro,203.2,5,Diestro,190.5,Blue
